Site,Genus,Species,Source,Laminar L:W Ratio,Elliptic,Obovate,Ovate,Oblong,Linear,Medial Symmetry,Base Symmetry,Lobation,Margin Type,Apex Angle,Base Angle,Primary Vein Framework,Major Secondary Framework,Major Secondary Spacing,Major Secondary Attachment to Midvein,Intercostal Tertiary Vein Fabric,Course of percurrent tertiaries,Angle of percurrent tertiaries,Intercostal Tertiary Vein Angle Variability,Quaternary Vein Fabric,Tooth Spacing,# Orders of Teeth,Sinus Shape
Secret,NA,Oblong Straight Vein,Ellen's Spreadsheet,NA,1,1,1,0,1,0,0,0,NA,NA,2,0,3,1,2,0,0,NA,NA,NA,NA,NA,NA
Secret,NA,Pinnate truncate,Ellen's Spreadsheet,NA,1,1,1,0,1,0,0,0,NA,0,2,0,3,1,2,0,2,NA,NA,2,NA,NA,NA
Secret,NA,RASY,Ellen's Spreadsheet,NA,0,1,1,1,1,0,2,0,NA,0,0,0,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA
Secret,NA,Short Drip Tip,Ellen's Spreadsheet,NA,0,1,1,1,1,0,0,0,NA,2,2,0,3,0,2,0,0,NA,NA,4,NA,NA,NA
Secret,NA,Small Euphorb,Ellen's Spreadsheet,NA,0,1,1,1,1,0,2,0,1,0,2,1,3,NA,2,0,0,NA,NA,2,NA,0,0
Secret,NA,Trinerved pulvinate,Ellen's Spreadsheet,NA,0,1,1,1,1,0,0,0,NA,NA,0,1,3,NA,0,2,NA,NA,NA,NA,NA,NA,NA
Secret,NA,Yellow leaf,Ellen's Spreadsheet,NA,0,1,1,0,1,0,0,0,NA,0,1,0,3,0,2,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Paranymphaea,FU1,Johnson 1989 Dissertation,NA,1,1,0,1,1,NA,NA,0,NA,0,4,NA,6,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Dicotyledones,FU14,Johnson 1989 Dissertation,2,1,1,0,1,1,0,2,0,NA,0,0,0,6,2,NA,0,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Dicotyledones,FU15,Johnson 1989 Dissertation,NA,1,1,0,1,1,NA,NA,0,1,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Platanus,FU16,Johnson 1989 Dissertation,NA,1,1,0,1,1,NA,NA,0,1,0,1,2,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA
Williston Basin,Pinnate Dilleniidae,FU19,Johnson 1989 Dissertation,2,0,1,1,1,1,NA,NA,0,NA,0,0,0,6,0,NA,0,0,1,3,NA,NA,NA,NA
Williston Basin,Dicotyledones,FU20,Johnson 1989 Dissertation,1.5,1,1,0,1,1,NA,NA,0,NA,0,0,0,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Magnoliales,FU25,Johnson 1989 Dissertation,NA,1,1,0,1,1,NA,NA,0,NA,0,0,0,6,1,NA,1,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Dicotylophyllum,FU29,Johnson 1989 Dissertation,NA,1,0,0,1,1,NA,NA,0,1,0,2,0,1,0,NA,0,NA,3,NA,NA,1,NA,1
Williston Basin,Cornophyllum,FU31,Johnson 1989 Dissertation,2,1,1,0,1,1,NA,NA,0,NA,0,0,0,3,NA,NA,0,NA,3,NA,NA,NA,NA,NA
Williston Basin,Dicotyledones,FU35,Johnson 1989 Dissertation,2.5,1,0,1,1,1,0,0,0,1,0,0,0,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Ziziphoides,FU43,Johnson 1989 Dissertation,NA,0,0,0,0,1,NA,NA,0,NA,1,1,3,6,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Flacourticeae,FU49,Johnson 1989 Dissertation,1,1,1,0,1,1,NA,NA,0,1,NA,2,1,1,NA,NA,0,0,NA,NA,0,NA,NA,1
Williston Basin,Cercidiphyllum,FU5,Johnson 1989 Dissertation,NA,1,1,0,1,1,NA,NA,0,1,NA,NA,1,3,NA,NA,0,NA,NA,NA,NA,NA,NA,0
Williston Basin,Dicotyledones,FU52,Johnson 1989 Dissertation,3,1,1,0,1,1,2,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Penosphyllum,FU61,Johnson 1989 Dissertation,1,1,1,0,1,1,0,0,0,NA,NA,4,0,6,0,NA,0,0,1,3,NA,NA,NA,NA
Williston Basin,Platanaceae,FU63,Johnson 1989 Dissertation,NA,1,1,0,1,1,NA,NA,0,2,NA,NA,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Dicotyledones,FU64,Johnson 1989 Dissertation,5,0,1,1,1,1,0,0,0,NA,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Dicotyledones,FU65,Johnson 1989 Dissertation,NA,1,1,0,1,1,0,0,0,1,0,3,0,1,2,NA,0,NA,3,NA,NA,NA,NA,NA
Williston Basin,Dicotyledones,FU69,Johnson 1989 Dissertation,NA,1,1,0,1,1,NA,NA,0,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,ÅgPopulusÅh,FU7,Johnson 1989 Dissertation,NA,1,1,0,1,1,0,0,0,0,1,3,1,0,NA,NA,0,0,NA,3,0,NA,1,1
Williston Basin,Dicotyledones,FU75,Johnson 1989 Dissertation,2,1,1,0,1,1,NA,NA,0,1,0,2,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Dicotyledones,FU77,Johnson 1989 Dissertation,NA,1,1,0,1,1,0,2,0,NA,NA,NA,0,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Platanites,HC1,Johnson 1989 Dissertation,NA,1,0,1,1,1,0,0,0,1,2,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Trochodendroides,HC103,Johnson 1989 Dissertation,1,1,1,0,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Marmarthia,HC105,Johnson 1989 Dissertation,1,0,1,1,1,1,0,0,NA,NA,2,1,1,6,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Platanites,HC106,Johnson 1989 Dissertation,1,1,0,1,1,1,NA,NA,1,1,2,1,2,0,NA,NA,0,NA,NA,NA,NA,NA,NA,1
Williston Basin,Paranymphaea,HC111,Johnson 1989 Dissertation,2,1,1,0,1,1,NA,NA,NA,NA,0,4,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Laurales,HC122,Johnson 1989 Dissertation,1,1,1,0,1,1,NA,NA,0,NA,1,4,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Cercidiphyllum,HC124,Johnson 1989 Dissertation,0.75,1,0,1,1,1,0,0,0,0,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Rosidae,HC132,Johnson 1989 Dissertation,NA,1,1,0,1,1,2,2,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Dicotyledones,HC135,Johnson 1989 Dissertation,NA,1,1,0,1,1,2,NA,0,1,0,0,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,0
Williston Basin,ÅgVitisÅh,HC14,Johnson 1989 Dissertation,NA,1,1,0,1,1,NA,NA,0,0,0,4,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,1
Williston Basin,Platanaceae,HC140,Johnson 1989 Dissertation,2,1,1,0,1,1,NA,NA,0,0,2,NA,2,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Dicotyledones,HC147,Johnson 1989 Dissertation,0.5,1,1,1,1,1,0,0,1,0,3,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Dicotyledones,HC159,Johnson 1989 Dissertation,NA,1,0,1,1,1,2,0,1,1,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Marmarthia,HC162,Johnson 1989 Dissertation,NA,0,1,1,1,1,NA,NA,0,NA,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Liriodendrites,HC166,Johnson 1989 Dissertation,NA,1,1,0,1,1,NA,NA,1,NA,3,3,0,6,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Dicotyledones,HC169,Johnson 1989 Dissertation,2,1,0,1,1,1,0,0,0,1,0,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,ÅgZiziphusÅh,HC174,Johnson 1989 Dissertation,1,1,1,0,1,1,NA,NA,0,NA,NA,4,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,ÅgArtocarpusÅh,HC179,Johnson 1989 Dissertation,1,1,1,1,1,1,NA,NA,1,NA,0,2,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Cissites,HC180,Johnson 1989 Dissertation,NA,1,0,1,1,1,NA,NA,1,1,0,4,2,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Dicotyledones,HC182,Johnson 1989 Dissertation,3,1,1,0,1,1,0,0,0,NA,0,0,0,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Laurales,HC199,Johnson 1989 Dissertation,NA,1,1,1,1,1,NA,NA,1,NA,0,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Grewiopsis,HC2,Johnson 1989 Dissertation,1,1,1,0,1,1,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Dicotyledones,HC21,Johnson 1989 Dissertation,2,1,1,0,1,1,2,2,0,NA,0,1,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Dicotyledones,HC24,Johnson 1989 Dissertation,1,1,1,0,1,1,0,0,0,0,0,2,0,1,2,0,NA,NA,NA,NA,NA,NA,NA,1
Williston Basin,Dicotyledones,HC28,Johnson 1989 Dissertation,1.5,1,1,0,1,1,0,0,0,NA,0,2,0,6,NA,NA,0,NA,3,NA,NA,NA,NA,NA
Williston Basin,Dicotyledones,HC29,Johnson 1989 Dissertation,3,0,1,1,1,1,NA,NA,0,1,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Dicotyledones,HC3,Johnson 1989 Dissertation,2,1,1,0,1,1,0,0,0,NA,0,1,0,3,0,NA,0,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Laurales?,HC32,Johnson 1989 Dissertation,2,1,1,0,1,1,2,2,0,NA,NA,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Dicotyledones,HC34,Johnson 1989 Dissertation,1,1,0,1,1,1,0,0,0,NA,2,2,0,6,4,NA,0,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Ulmaceae,HC36,Johnson 1989 Dissertation,2,1,1,0,1,1,0,2,0,1,0,4,0,0,2,NA,NA,NA,NA,NA,NA,NA,1,0
Williston Basin,ÅgFicusÅh,HC4,Johnson 1989 Dissertation,NA,0,1,0,1,1,NA,NA,0,NA,1,3,1,6,NA,NA,0,NA,NA,3,NA,NA,NA,NA
Williston Basin,Magnoliidae,HC43,Johnson 1989 Dissertation,1,1,0,1,1,1,0,0,0,NA,3,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,ÅgDryophyllumÅh,HC49,Johnson 1989 Dissertation,NA,0,1,1,0,1,1,1,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Williston Basin,Platanoids,HC52,Johnson 1989 Dissertation,3,1,1,0,1,1,NA,NA,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Dicotyledones,HC55,Johnson 1989 Dissertation,NA,1,1,0,1,1,NA,NA,0,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Williston Basin,Dicotyledones,HC56,Johnson 1989 Dissertation,2,1,1,0,1,1,NA,NA,0,1,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,1
Williston Basin,Erlingdorfia,HC57-64,Johnson 1989 Dissertation,NA,0,1,1,1,1,NA,NA,1,NA,0,0,2,1,NA,NA,0,NA,NA,NA,NA,NA,NA,1
Williston Basin,Araliaephyllum,HC60,Johnson 1989 Dissertation,1,1,1,1,1,1,NA,NA,1,NA,0,4,2,6,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Williston Basin,ÅgRhamnusÅh,HC62,Johnson 1989 Dissertation,NA,0,1,0,1,1,0,0,0,1,0,0,0,3,0,NA,0,NA,3,3,NA,NA,NA,1
Williston Basin,Cissites,HC63,Johnson 1989 Dissertation,1,1,1,0,1,1,NA,NA,1,NA,0,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Dicotyledones,HC65,Johnson 1989 Dissertation,2,1,1,0,1,1,0,0,0,NA,NA,0,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Magnoliidae,HC66,Johnson 1989 Dissertation,1.5,0,1,1,1,1,0,0,0,NA,0,4,0,6,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Dicotyledones,HC67,Johnson 1989 Dissertation,2,1,0,1,1,1,0,0,0,NA,0,0,0,3,0,NA,0,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Trochodendrales,HC73,Johnson 1989 Dissertation,3,1,1,0,1,1,NA,NA,0,1,0,2,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Williston Basin,Dicotyledones,HC75,Johnson 1989 Dissertation,1,1,1,0,1,1,NA,NA,0,1,0,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Rosaceae,HC80,Johnson 1989 Dissertation,NA,1,1,0,1,1,NA,NA,1,1,1,1,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,0
Williston Basin,Cannabaceae,HC81,Johnson 1989 Dissertation,NA,1,0,1,1,1,NA,NA,1,1,0,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Laurales,HC84,Johnson 1989 Dissertation,NA,1,1,0,1,1,NA,NA,0,NA,0,0,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Dicotyledones,HC85,Johnson 1989 Dissertation,1,1,1,0,1,1,NA,NA,0,1,NA,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Leepierceia,HC86,Johnson 1989 Dissertation,NA,1,1,1,0,1,0,0,0,0,0,4,0,6,0,NA,0,NA,NA,NA,NA,1,0,NA
Williston Basin,Laurales,HC87,Johnson 1989 Dissertation,5,0,1,1,1,1,NA,NA,0,NA,NA,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Chloranthaceae,HC88,Johnson 1989 Dissertation,NA,1,1,0,1,1,NA,NA,0,NA,2,NA,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,Dicotyledones,HC91,Johnson 1989 Dissertation,1.5,1,1,0,1,1,0,0,0,1,NA,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williston Basin,ÅgCinnamomumÅh,HC92,Johnson 1989 Dissertation,3,0,1,1,1,1,NA,NA,0,NA,0,0,3,6,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Williston Basin,ÅgCelastrusÅh,HC94,Johnson 1989 Dissertation,NA,0,1,1,1,1,0,0,0,1,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,1
Williston Basin,Platanaceae,HC98,Johnson 1989 Dissertation,1.5,1,1,1,0,1,NA,NA,0,1,0,2,2,0,0,NA,0,NA,NA,NA,NA,NA,NA,1
Williston Basin,Platanaceae,HC99,Johnson 1989 Dissertation,1,1,1,0,1,1,NA,NA,0,1,NA,4,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Wind River Interior,Platycarya,castaneopsis,Matt from Wind River paper,NA,0,1,1,1,1,0,0,0,1,NA,0,0,0,1,0,NA,NA,NA,NA,NA,1,0,0
Wind River Interior,Populus,cinnamomoides,Wing 1981,NA,0,1,1,1,1,0,0,NA,1,NA,1,1,3,NA,NA,0,0,3,NA,3,NA,NA,NA
Wind River Interior,NA,DE-D,Currano et al 2010,2,0,1,1,1,1,0,0,0,NA,0,0,0,6,2,2,0,0,3,1,NA,NA,NA,NA
Wind River Interior,Apeiba,improvisa,Matt from Wind River paper,2,0,1,1,1,1,0,NA,0,NA,0,2,1,1,3,3,0,0,1,2,NA,1,0,1
Wind River Interior,Symplocos,incondita,Matt from Wind River paper,4,0,1,1,1,1,0,0,0,NA,0,0,0,6,1,0,0,2,1,NA,4,NA,NA,NA
Wind River Interior,Acrovena,laevis,Matt from Wind River paper,2,0,1,1,1,1,0,0,0,NA,0,2,0,3,2,0,0,0,3,6,NA,NA,NA,NA
Wind River Interior,"""Dombeya""",novi-mundi,Matt from picture in Currano et al 2010,1.7,1,1,0,1,1,0,0,1,1,0,2,1,0,3,2,0,0,1,3,2,0,0,0
Wind River Interior,Platanus,raynoldsii,Matt from Wind River paper,1,1,1,0,1,1,0,0,1,1,0,2,1,0,3,2,0,2,2,2,2,1,0,0
Wind River Interior,NA,WR003,Currano et al 2010,2.5,0,1,1,1,1,0,2,0,1,0,0,0,1,1,2,0,0,1,NA,NA,0,0,1
Wind River Interior,NA,WR014,Currano et al 2010,2,1,1,0,1,1,NA,0,0,NA,NA,2,1,3,0,NA,0,0,3,NA,NA,NA,NA,NA
Wind River Interior,NA,WR017,Currano et al 2010,2,1,1,0,1,1,0,0,0,NA,0,2,0,6,1,2,0,0,NA,6,NA,NA,NA,NA
Wind River Interior,NA,WR020,Currano et al 2010,1,0,1,1,1,1,0,0,0,NA,2,2,1,6,1,2,1,NA,NA,NA,4,NA,NA,NA
Wind River Interior,NA,WR023,Currano et al 2010,3,0,1,1,1,1,0,0,0,NA,0,0,0,3,1,0,0,0,3,1,3,NA,NA,NA
Wind River Interior,NA,WR024,Currano et al 2010,NA,0,1,1,1,1,0,0,0,NA,0,2,1,NA,1,0,0,2,NA,0,NA,NA,NA,NA
Wind River Interior,NA,WR026,Currano et al 2010,2,0,1,1,1,1,0,2,0,NA,0,2,0,6,1,2,0,1,1,1,NA,NA,NA,NA
Winthrop,Araliaephyllum,apiculatum,Miller Dissertation,NA,0,1,0,1,1,0,NA,1,NA,1,3,2,6,0,NA,0,0,NA,NA,NA,NA,NA,NA
Winthrop,Barksdalia,asymmetrica,Miller Dissertation,2,1,1,0,1,1,2,2,0,NA,0,2,0,6,4,NA,0,0,NA,NA,3,NA,NA,NA
Winthrop,Sapindopsis,belviderensis,Miller Dissertation,NA,0,0,1,1,1,1,2,NA,2,1,1,0,2,1,NA,1,NA,NA,NA,NA,0,0,0
Winthrop,Ptarmigania,cordata,Miller Dissertation,NA,1,1,0,1,1,0,0,1,2,2,2,1,2,1,0,1,NA,NA,NA,NA,0,0,0
Winthrop,NA,Dicotylophyllum sp B,Miller Dissertation,1.5,0,0,1,1,1,0,NA,0,NA,2,0,0,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Winthrop,Menispermites,diminutiva,Miller Dissertation,NA,0,1,0,1,1,0,0,0,0,2,3,1,6,1,NA,0,1,1,2,3,0,0,1
Winthrop,Araliaephyllum,elegans,Miller Dissertation,NA,0,1,0,1,1,0,0,1,NA,2,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Winthrop,Crednaria,fortenervata,Miller Dissertation,1.24,0,1,0,1,1,2,NA,0,NA,0,1,1,7,1,NA,0,2,1,NA,1,NA,NA,NA
Winthrop,Crednaria,gabatula,Miller Dissertation,1,1,1,0,1,1,2,NA,0,NA,0,2,0,6,1,NA,0,2,1,2,0,NA,NA,NA
Winthrop,Trochodendroides,girardii,Miller Dissertation,1,1,1,0,1,1,1,NA,0,1,0,1,1,2,3,NA,0,2,NA,2,NA,0,0,0
Winthrop,Monimiophyllum,glandulosum,Miller Dissertation,NA,1,1,0,1,1,0,2,0,NA,0,0,0,3,1,NA,0,2,3,NA,3,NA,NA,NA
Winthrop,WP 99,GYMNOSPERM,Miller Dissertation,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Winthrop,Okanogia,linearis,Miller Dissertation,NA,1,1,1,0,0,0,2,0,NA,0,0,0,5,0,NA,1,NA,NA,NA,NA,0,0,0
Winthrop,Boeselia,macrophylla,Miller Dissertation,2,0,1,1,1,1,0,0,0,NA,0,0,0,3,1,NA,1,NA,NA,NA,4,NA,NA,NA
Winthrop,Methowia,polymorpha,Miller Dissertation,NA,0,0,0,1,1,0,NA,0,NA,1,1,0,6,0,2,0,2,1,4,3,NA,NA,NA
Winthrop,Twispiopsis,reticulata,Miller Dissertation,2,1,1,0,1,1,0,2,0,2,0,0,0,4,1,NA,1,NA,NA,NA,NA,0,0,0
Winthrop,"""Laurus""",teliformis,Miller Dissertation,NA,0,1,1,0,1,1,NA,NA,NA,0,0,0,3,1,NA,0,0,3,NA,NA,NA,NA,NA
Winthrop,Sapindopsis,ternata,Miller Dissertation,NA,1,0,1,1,1,NA,NA,NA,NA,1,0,0,2,1,NA,1,NA,NA,NA,NA,0,0,0
Winthrop,Trochodendroides,winthropensis,Miller Dissertation,NA,1,1,0,1,1,1,NA,0,1,1,3,2,5,3,NA,NA,NA,NA,NA,NA,0,0,0
Winthrop,Twispiopsis,winthropia,Miller Dissertation,1.5,1,1,0,1,1,0,2,0,2,0,2,0,1,1,NA,1,NA,NA,NA,NA,0,0,0
